Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),2023-01-01,Kg,40,59,49
Tomato Small(Local),2023-01-01,Kg,29,49,39
Potato Red,2023-01-01,Kg,53,67,60
Potato White,2023-01-01,Kg,36,57,46
Onion Dry (Indian),2023-01-01,Kg,65,89,77
Carrot(Local),2023-01-01,Kg,75,115,95
Cabbage(Local),2023-01-01,Kg,31,50,40
Cauliflower Local,2023-01-01,Kg,46,81,63
Raddish White(Local),2023-01-01,Kg,21,37,29
Brinjal Long,2023-01-01,Kg,45,65,55
Cow pea(Long),2023-01-01,Kg,68,107,87
Green Peas,2023-01-01,Kg,111,170,140
French Bean(Local),2023-01-01,Kg,66,95,80
Bitter Gourd,2023-01-01,Kg,85,116,100
Bottle Gourd,2023-01-01,Kg,39,63,51
Pointed Gourd(Local),2023-01-01,Kg,57,97,77
Snake Gourd,2023-01-01,Kg,53,71,62
Sponge Gourd,2023-01-01,Kg,57,91,74
Pumpkin,2023-01-01,Kg,34,49,41
Squash(Long),2023-01-01,Kg,42,62,52
Okra,2023-01-01,Kg,71,99,85
Arum,2023-01-01,Kg,62,88,75
Barela,2023-01-01,Kg,42,52,47
Radish Red,2023-01-01,Kg,30,47,38
Mushroom(Button),2023-01-01,Kg,370,514,442
Mushroom(Kanya),2023-01-01,Kg,163,230,196
Spinach Leaf,2023-01-01,Kg,95,124,109
Mustard Leaf,2023-01-01,Kg,38,58,48
Coriander,2023-01-01,Kg,154,250,202
Garlic Dry Nepali,2023-01-01,Kg,183,302,242
Garlic Dry Chinese,2023-01-01,Kg,273,368,320
Ginger,2023-01-01,Kg,151,215,183
Chilly Green,2023-01-01,Kg,78,137,107
Capsicum,2023-01-01,Kg,110,152,131
Cucumber(Local),2023-01-01,Kg,63,93,78
Apple(Jholey),2023-01-01,Kg,140,249,194
Banana,2023-01-01,Dozen,98,143,120
Pomegranate,2023-01-01,Kg,239,400,319
Orange(Nepali),2023-01-01,Kg,77,145,111
Papaya(Indian),2023-01-01,Kg,78,113,95
Tomato Big(Nepali),2023-01-02,Kg,42,61,51
Tomato Small(Local),2023-01-02,Kg,32,49,40
Potato Red,2023-01-02,Kg,45,76,60
Potato White,2023-01-02,Kg,40,57,48
Onion Dry (Indian),2023-01-02,Kg,61,93,77
Carrot(Local),2023-01-02,Kg,79,126,102
Cabbage(Local),2023-01-02,Kg,30,47,38
Cauliflower Local,2023-01-02,Kg,53,91,72
Raddish White(Local),2023-01-02,Kg,20,40,30
Brinjal Long,2023-01-02,Kg,48,66,57
Cow pea(Long),2023-01-02,Kg,67,97,82
Green Peas,2023-01-02,Kg,111,144,127
French Bean(Local),2023-01-02,Kg,57,97,77
Bitter Gourd,2023-01-02,Kg,80,124,102
Bottle Gourd,2023-01-02,Kg,38,69,53
Pointed Gourd(Local),2023-01-02,Kg,62,92,77
Snake Gourd,2023-01-02,Kg,50,80,65
Sponge Gourd,2023-01-02,Kg,64,85,74
Pumpkin,2023-01-02,Kg,34,55,44
Squash(Long),2023-01-02,Kg,40,58,49
Okra,2023-01-02,Kg,64,97,80
Arum,2023-01-02,Kg,55,85,70
Barela,2023-01-02,Kg,38,58,48
Radish Red,2023-01-02,Kg,33,44,38
Mushroom(Button),2023-01-02,Kg,322,478,400
Mushroom(Kanya),2023-01-02,Kg,152,221,186
Spinach Leaf,2023-01-02,Kg,89,124,106
Mustard Leaf,2023-01-02,Kg,42,64,53
Coriander,2023-01-02,Kg,142,240,191
Garlic Dry Nepali,2023-01-02,Kg,205,314,259
Garlic Dry Chinese,2023-01-02,Kg,276,330,303
Ginger,2023-01-02,Kg,152,215,183
Chilly Green,2023-01-02,Kg,86,118,102
Capsicum,2023-01-02,Kg,101,140,120
Cucumber(Local),2023-01-02,Kg,58,95,76
Apple(Jholey),2023-01-02,Kg,156,250,203
Banana,2023-01-02,Dozen,101,137,119
Pomegranate,2023-01-02,Kg,252,372,312
Orange(Nepali),2023-01-02,Kg,80,146,113
Papaya(Indian),2023-01-02,Kg,78,107,92
Tomato Big(Nepali),2023-01-03,Kg,41,60,50
Tomato Small(Local),2023-01-03,Kg,27,50,38
Potato Red,2023-01-03,Kg,55,80,67
Potato White,2023-01-03,Kg,42,58,50
Onion Dry (Indian),2023-01-03,Kg,56,93,74
Carrot(Local),2023-01-03,Kg,76,112,94
Cabbage(Local),2023-01-03,Kg,28,51,39
Cauliflower Local,2023-01-03,Kg,53,86,69
Raddish White(Local),2023-01-03,Kg,20,35,27
Brinjal Long,2023-01-03,Kg,44,69,56
Cow pea(Long),2023-01-03,Kg,63,105,84
Green Peas,2023-01-03,Kg,125,167,146
French Bean(Local),2023-01-03,Kg,64,81,72
Bitter Gourd,2023-01-03,Kg,74,118,96
Bottle Gourd,2023-01-03,Kg,42,59,50
Pointed Gourd(Local),2023-01-03,Kg,55,91,73
Snake Gourd,2023-01-03,Kg,50,69,59
Sponge Gourd,2023-01-03,Kg,56,96,76
Pumpkin,2023-01-03,Kg,38,51,44
Squash(Long),2023-01-03,Kg,37,64,50
Okra,2023-01-03,Kg,72,101,86
Arum,2023-01-03,Kg,65,82,73
Barela,2023-01-03,Kg,42,55,48
Radish Red,2023-01-03,Kg,31,46,38
Mushroom(Button),2023-01-03,Kg,360,509,434
Mushroom(Kanya),2023-01-03,Kg,156,192,174
Spinach Leaf,2023-01-03,Kg,91,118,104
Mustard Leaf,2023-01-03,Kg,42,64,53
Coriander,2023-01-03,Kg,152,266,209
Garlic Dry Nepali,2023-01-03,Kg,195,312,253
Garlic Dry Chinese,2023-01-03,Kg,240,364,302
Ginger,2023-01-03,Kg,143,223,183
Chilly Green,2023-01-03,Kg,84,123,103
Capsicum,2023-01-03,Kg,94,154,124
Cucumber(Local),2023-01-03,Kg,56,97,76
Apple(Jholey),2023-01-03,Kg,142,247,194
Banana,2023-01-03,Dozen,91,143,117
Pomegranate,2023-01-03,Kg,271,371,321
Orange(Nepali),2023-01-03,Kg,83,143,113
Papaya(Indian),2023-01-03,Kg,79,108,93
